,title,author,total words,vividness,passive voice,all adverbs,ly-adverbs,non-ly-adverbs,genre,year
457,Woom,Matt Shaw & Duncan Ralston,30571.0,62.39,7.38,2.53,0.84,1.69,[],

462,The Oath,Klaus-Peter Wolf,135316.0,40.45,9.26,3.72,1.41,2.31,['Fiction'],2016.0

499,The Night of the Swarm,Robert V. S. Redick,279458.0,55.4,7.55,2.8,0.81,1.99,"['Fantasy', 'Epic Fantasy', 'Audiobook', 'Epic', 'High Fantasy', 'Fiction', 'Magic']",2012.0

502,Fellaheen,Jon Courtenay Grimwood,104081.0,57.37,7.05,3.21,1.25,1.96,[],

510,A Practical Guide to Conquering the World,K. J. Parker,102237.0,38.01,9.23,3.6,1.32,2.28,"['Fantasy', 'Fiction', 'Historical Fiction', 'Humor', 'Military Fiction', 'Adult', 'Historical Fantasy']",2022.0

531,Changes,Danielle Steel,128445.0,29.73,9.5,3.82,1.18,2.64,[],

535,The Last Days Of The United States,Robert A. Heinlein,5299.0,32.66,8.49,2.64,1.13,1.51,[],

544,Invisible,Danielle Steel,79587.0,26.81,10.12,3.16,0.89,2.27,"['Fiction', 'Romance', 'Chick Lit', 'Audiobook', 'Contemporary', 'Womens Fiction', 'Adult']",2022.0

545,One Night,Debbie Macomber,76180.0,37.44,9.58,3.27,1.48,1.79,"['Romance', 'Contemporary Romance', 'Fiction', 'Contemporary', 'Chick Lit', 'Mystery', 'Adult']",1994.0

553,Slewfoot,Gerald Brom,118924.0,59.29,6.55,2.61,0.66,1.96,[],

573,No Stone Unturned,C. J. Johnson,75801.0,38.16,8.01,2.14,0.72,1.42,[],2018.0

579,Soul Eater,Lindsey Fairleigh,70181.0,52.06,7.24,2.75,1.08,1.67,[],

605,Mark of Rebel,B. K. Thomas,70938.0,33.41,8.95,2.48,0.61,1.87,[],2019.0

609,Fiasco,Stanislaw Lem,78700.0,50.24,6.73,2.78,1.13,1.65,"['Science Fiction', 'Fiction', 'Polish Literature', 'Fantasy', 'Literature', 'Classics', 'Novels']",1986.0

619,Dead of Winter,Anders de la Motte,106201.0,54.45,7.93,3.12,1.17,1.96,"['Thriller', 'Crime', 'Mystery', 'Scandinavian Literature', 'Fiction', 'Audiobook', 'Sweden']",2018.0

629,Bad Girl,T. E. Woods,89196.0,46.78,8.53,2.25,0.59,1.66,"['Mystery', 'Adult']",2018.0

