title,author,total words,vividness,passive voice,all adverbs,ly-adverbs,non-ly-adverbs,genre,year
I Kissed a Girl,Jennet Alexander,101376.0,51.59,7.83,3.16,1.33,1.83,"['Romance', 'LGBT', 'Queer', 'Lesbian', 'Contemporary', 'Adult', 'Fiction']",2021
Burn,Patrick Ness,86007.0,36.43,9.61,3.82,1.3,2.53,"['Fantasy', 'Young Adult', 'Dragons', 'Historical Fiction', 'Fiction', 'LGBT', 'Young Adult Fantasy']",2020
Northanger Abbey,Jane Austen,77248.0,23.0,9.11,4.56,1.32,3.24,"['Classics', 'Fiction', 'Romance', 'Gothic', 'Historical Fiction', 'Literature', '19th Century']",1817
Paranoid,Lisa Jackson,124080.0,48.48,8.42,2.89,0.83,2.05,"['Thriller', 'Mystery', 'Fiction', 'Suspense', 'Mystery Thriller', 'Audiobook', 'Adult Fiction']",2019
The Sting,Kimberley Chambers,109992.0,37.82,10.16,3.38,0.95,2.43,"['Fiction', 'Crime', 'Romance', 'Thriller']",2019
Darkness Visible,Thomas Waugh,31856.0,49.48,7.31,3.23,1.19,2.04,[],2018
The Shadow Saint,Gareth Hanrahan,182753.0,65.53,6.44,2.27,0.81,1.46,"['Fantasy', 'Fiction', 'High Fantasy', 'Epic Fantasy', 'Adult', 'Steampunk', 'Urban Fantasy']",2020
Rise of the Shadowalker,C. J. Perry,65358.0,59.89,5.14,1.43,0.22,1.21,[],nan
The Fool,Jon Cronshaw,7911.0,82.69,5.31,1.39,0.43,0.96,"['Fantasy', 'Fiction', 'High Fantasy', 'Young Adult']",2018
Goosebumps: Night of the Living Dummy,R. L. Stine,23334.0,65.04,6.28,2.97,1.44,1.53,[],nan
All The Hidden Pieces,Jillian Thomadsen,81087.0,39.57,7.59,3.02,1.09,1.94,"['Fiction', 'Mystery']",2018
The Watergate,Joseph Rodota,111782.0,35.22,4.84,1.73,0.73,1.0,"['History', 'Nonfiction', 'Politics']",2018
Critical Threat,Lynette Eason,84269.0,32.58,9.06,2.93,0.82,2.12,"['Suspense', 'Christian Fiction', 'Romantic Suspense', 'Mystery', 'Contemporary', 'Romance', 'Audiobook']",2023
Ruins,Brian Aldiss,24185.0,54.12,7.46,2.89,1.08,1.81,[],nan
Shield of Thunder,David Gemmell,155811.0,56.96,8.07,2.69,0.81,1.88,"['Fantasy', 'Historical Fiction', 'Fiction', 'Historical', 'Mythology', 'War', 'Historical Fantasy']",2006
Superpower Interrupted,Michael Schuman,114297.0,36.29,5.29,2.86,1.25,1.61,"['China', 'History', 'Politics', 'Nonfiction', 'Asia', 'Economics', 'Political Science']",2020
The Plot Whisperer,Martha Alderson,63275.0,27.16,4.47,2.67,1.01,1.66,"['Writing', 'Nonfiction', 'Reference', 'Crafts', 'How To', 'Self Help', 'Adult']",2011
