,title,author,total words,vividness,passive voice,all adverbs,ly-adverbs,non-ly-adverbs,genre,year
1089,Break the Chains,Megan E. O’Keefe,105168.0,61.87,6.89,2.18,0.55,1.63,"['Fantasy', 'Steampunk', 'Science Fiction', 'High Fantasy', 'Fiction', 'Mystery', 'Novels']",2016.0
1090,"God, A Human History",Reza Aslan,46368.0,34.79,5.83,2.97,1.37,1.6,"['Religion', 'Nonfiction', 'History', 'Philosophy', 'Spirituality', 'Theology', 'Audiobook']",2017.0
1091,Then Came Thunder,Rachael Huszar,46351.0,40.89,8.91,3.0,1.02,1.97,"['Historical Fiction', 'Historical', 'Fantasy', 'Fiction']",2021.0
1092,The Glamourist,Luanne G. Smith,85285.0,62.03,6.66,2.72,0.87,1.85,"['Fantasy', 'Fiction', 'Historical Fiction', 'Magic', 'Witches', 'Paranormal', 'Audiobook']",2020.0
1093,Murder Theory,Andrew Mayne,80289.0,37.6,9.22,2.83,1.04,1.79,"['Mystery', 'Thriller', 'Fiction', 'Crime', 'Mystery Thriller', 'Suspense', 'Audiobook']",2019.0
1094,Dark City,Kit Hallows,61374.0,76.09,5.93,2.24,0.73,1.51,"['Urban Fantasy', 'Fantasy', 'Amazon', 'Paranormal', 'Magic', 'Fiction']",2016.0
1095,Murder at the Fashion House,Sonia Parin,49716.0,33.15,9.34,2.74,0.83,1.91,"['Mystery', 'Historical', 'Cozy Mystery', 'Fiction']",2020.0
1096,No Stone Unturned,Julie Moffett,116846.0,40.73,8.6,3.41,1.38,2.04,"['Mystery', 'Mystery Thriller', 'Romance', 'Romantic Suspense', 'Cozy Mystery', 'Thriller', 'Audiobook']",2019.0
1097,The 13th Victim,Linda S. Prather,71969.0,42.58,8.62,2.41,0.79,1.62,"['Mystery', 'Suspense', 'Mystery Thriller', 'Thriller']",2017.0
1098,Return of the Trickster,Eden Robinson,74408.0,62.51,7.5,2.19,0.66,1.53,"['Fantasy', 'Fiction', 'Canada', 'Magical Realism', 'Urban Fantasy', 'Young Adult', 'Supernatural']",2021.0
1099,"Baby, Don’t Hurt Me",Chris Kattan,86731.0,36.65,8.03,3.46,1.36,2.09,"['Memoir', 'Nonfiction', 'Humor', 'Biography', 'Biography Memoir', 'Comedy', 'Autobiography']",2019.0
1100,The Girl From Blind River,Gale Massey,79051.0,53.86,6.85,2.03,0.51,1.52,"['Mystery', 'Fiction', 'Thriller', 'Audiobook', 'Mystery Thriller', 'Suspense', 'Crime']",2018.0
1101,Now You See Me,Chris McGeorge,81732.0,41.47,8.9,3.01,1.07,1.94,"['Thriller', 'Mystery', 'Audiobook', 'Mystery Thriller', 'British Literature', 'Suspense', 'Fiction']",2019.0
1102,The Coffin Path,Katherine Clements,111148.0,66.56,7.76,2.28,0.46,1.82,"['Horror', 'Historical Fiction', 'Gothic', 'Historical', 'Fiction', 'Paranormal', 'Ghost Stories']",2018.0
1103,Motherthing,Ainslie Hogarth,71174.0,70.38,7.65,3.51,1.2,2.31,"['Horror', 'Fiction', 'Thriller', 'Contemporary', 'Adult', 'Mystery', 'Humor']",2022.0
1104,Blood Week,J. D. Martin,92761.0,47.48,7.3,2.29,0.75,1.54,['Crime'],2013.0
1105,In the Upper Country,Kai Thomas,87540.0,61.96,6.02,2.69,0.87,1.83,"['Historical Fiction', 'Fiction', 'Canada', 'Historical', 'Race', 'Literary Fiction', 'African American']",2023.0
1106,Cured,Bethany Wiggins,81721.0,76.23,6.19,2.25,0.67,1.58,"['Dystopia', 'Young Adult', 'Science Fiction', 'Romance', 'Fantasy', 'Post Apocalyptic', 'Fiction']",2014.0
1107,Confessions of a Scary Mommy,Jill Smokler,41308.0,46.13,8.78,3.9,1.86,2.05,"['Nonfiction', 'Parenting', 'Humor', 'Memoir', 'Essays', 'Audiobook', 'Comedy']",2012.0
